sha256_hash,malware_family,stratum_tier
2b3f9ef76226b77ae93e3af37c2075913501ba30d13c1854f423c10b2e6c0060,ransomware,known
81701d606cd2a6ce22d99a53ac5c28db7359aaf25286937b55e4d553fa3814df,ransomware,known
1bc9c3732061da94caeccb315492bc48a908bc8560ea093217e9b9f63bbfbcbf,ransomware,known
4b0d17ce25b8647fa42a0953294c8e21a317e2f28b082b45f2189ba3cdea2627,ransomware,known
6ffac63e169af92f489f1599ac160d95064092c52d5674a36102a987fb5f9c27,ransomware,known
569fb59e0c9365dbeeac4f4e228ee866dcccc560c8c45a1566c639a9e56d99d2,ransomware,known
ea065969282487e1c5db9d4e82ff7bd750c761dee706e4cb900825b983411e57,ransomware,known
de4c225147a706d496e68da82e6431a9aa8f93fe498eaf7cfd196919634fea48,ransomware,known
524538b477e0b50e89bcda6b14ef911730984ca1c5e3023ada918e34f5c28c0c,ransomware,known
af4cd9000802e5c65a551d5bc32ec6eae6d6aa2c323746e5ff3e36ab03df9e45,ransomware,known
496865e644fcc9fa63b99fd14065c37ddc11c2005a67ae1923633dcdc3888cd0,ransomware,known
3745757c1d405b27a222e8f89764f9589b41faf883196a1da2a0c4bd41315ac4,ransomware,known
a38fc5b27c080f01e392d5ee26a4c354014fdae53ecc6a68ca61c35efe7799ec,ransomware,known
35d18e8f6a5e5b0e4652cbe47e2490f1167318dc5ace2daf72ddeebce11b3681,ransomware,known
d2865d01f7728581c63e863f7be8d875577648c42167f7221ad614b97ebd5c4a,ransomware,known
243f3a9e6aaea2b19096e789c2e5c927292bf0bfd79925e8e70447453eafc79d,ransomware,known
b98dde2a3fbd4226025e4dd95016722a31cfea306c6b1a00f0a637831bdf1f40,ransomware,known
1c1f9acb5aeb2758a10c28630112da778ab990e41b189d9a6aa5d2fdb15a33ac,ransomware,known
6311ea1dd65a0f279a0d4fa45aee8bc45d2fc7375fb71eba90574ce2839b6791,ransomware,known
5e78cfc6d9c6c0b237d00e861e99e5b62b35c46526196ada42b235969cb06da2,ransomware,known
05415e1b5c5bfd888966a3f6ce9da05b1f540e14d4b7ec30c63772cd1cb5c66e,ransomware,known
7a84f448f96f775b4460416c37b927a06657a8d9ce9f39c9faa54aee8005b20f,ransomware,known
22e3b676f85ddff4547edc712848643bcfdf9c4e283cd19259d68b7a000fcce3,ransomware,known
c1ce1655e0452d2eb867043034bd2652805f65b2886c97f8ae9b3ead5260b046,ransomware,known
f86f4b40bdf99b1d802f621e48bc32d0b7cdab5e51cb3129d67fe49611425393,ransomware,known
cfa71df1fad1200af65e59ad967081895eea6e5dd4df2d1cc9c0e1fb683572c9,ransomware,known
8fee4717f6d3f2e29d1d399eb34765f891846ebd0bb29e5c15a12fc36707c153,ransomware,known
15ed83e0e987f04674e852d2368096e441bfebdc8e1b5286d8c35a21b58c27aa,ransomware,known
86e4ea073eeb735406171a47cca56e6b019c8fbb75e7d2a1e7797b53e3cefee0,ransomware,known
2b447dd32b575420aefd9e243ad65a72f8d0fd827af6d7b4a0dff1184d60895c,ransomware,known
1f6a88742b5455b5ba4e13a5184b587a01b44050d86379174528ebb5c0a3f087,ransomware,known
6386c57a41765c62b7f9bd85f4de3ec7f344151d3d0d6a7ebff7b9e32d84f184,ransomware,known
833c687cf148b3f1244fea9ebce3fcd7e5f7b9e730055a11264319ae869a697e,ransomware,known
2fcc7d11454731601b6c41894ad26af9e7457ef5c7279177dc8c778f50ffff04,ransomware,known
b5d87ad868ff9dcdea164bdcbf377cfe909c2746f316d7727a6efdaf939ff3d4,ransomware,known
8083279c26108267ec1423bd9023349b784de627ac45bd719485f8dd47df1ad3,ransomware,known
d9f8471adf241e784ebe1bb024e5fd9258c2bb3a45bab46b2008b929616206f8,ransomware,known
fddcb7657ca17e986a78bcf2e98a7fbf1498e7ff094d129dd902bbabd75fec13,ransomware,known
a7c0c6fb245fe8bfdcb11ebc28b295382c480aef990cef7f3ae0f8a1b29e779d,ransomware,known
eab0c361efa603efd31ddbe42a08f425cc384d16ba983c9386d852306fc1f2f7,ransomware,known
8684db4c61f901e75d4ca3176fcd89b0bc755609a414f4022c4f798b0580abae,ransomware,known
